Inicio del Ciclo,Grabando,Grabacion finalizada,Conversion a flac,API Request,API Response,Brain Request,Brain Response,Ejecutando TTS,
1.152351,5.477501,-0.003928,2.00704,2.618547,0.017335,0.145973,0.006308,3.261015,
1.038116,6.986064,0.014351,1.677239,4.735968,0.011781,0.001889,0.003639,2.051473,
1.025818,185.851404,-0.085896,1.450078,2.966169,0.011947,0.013315,0.004581,3.008078,
1.033968,4.789798,0.004072,1.469935,5.404124,0.008701,0.002408,0.004769,3.267622,
1.073445,5.650847,0.01019,1.020557,4.732498,0.010714,0.002247,0.006759,3.133994,
1.036608,4.719904,0.002958,1.432408,3.32418,41.762235,0.010794,0.005789,1.603694,
1.028953,5.178492,0.01356,0.944329,4.044029,0.011159,0.003626,0.007902,3.970582,
1.039846,4.701346,0.009014,1.067364,3.592627,0.008703,0.003392,0.005833,1.42623,
1.042152,5.107339,0.013075,1.12107,3.072888,0.007556,0.00514,0.007162,6.466454,
1.02824,4.723413,0.005952,1.744785,3.480989,0.040279,0.006423,0.003792,7.344865,
1.042211,5.137566,0.432633,1.328228,2.314473,0.007435,0.006246,0.004027,6.748974,
1.039136,5.19597,0.453838,1.024557,5.509161,0.012269,0.002916,0.008138,4.604075,
1.029138,4.715366,0.924174,1.413827,5.907916,0.007865,0.005048,0.003598,1.809448,
1.04175,5.076987,-0.07556,1.316047,5.226256,0.007486,0.02722,0.007443,3.94504,
1.028991,4.979548,0.002347,1.423352,1.732517,0.0072,0.009483,0.004241,4.883878,
1.029133,179.088159,0.006986,1.192282,2.202941,0.007584,0.003486,0.00452,2.032385,
,5.023151,0.00313,0.601264,2.070024,0.007108,0.002298,0.004133,2.05271,
,5.02184,0.000254,1.366133,3.40276,0.016145,0.004345,0.035643,1.733756,
,4.221995,0.00481,1.42209,3.045377,0.009335,0.003644,0.008406,4.403412,
,4.733016,0.002391,1.018895,6.125372,0.007767,0.007027,0.005052,3.872301,
,4.694632,0.00433,2.014298,3.945093,0.011969,0.003208,0.005921,3.935678,
,5.034962,0.006136,1.704647,3.301105,0.009372,0.009621,0.003809,3.544694,
,4.722431,0.013256,1.204749,3.136384,0.011633,0.048221,0.006081,3.227258,
,5.116273,36.064653,1.49771,4.479249,0.013531,0.008873,0.004675,3.356586,
,4.037392,0.002484,2.624614,4.890543,1.379223,0.003813,0.010273,3.080068,
,4.923617,0.005646,2.335438,2.337448,0.009573,0.014633,0.003889,3.28381,
