Inicio del Ciclo,Grabando,Grabacion finalizada,Conversion a flac,API Request,API Response,Brain Request,Brain Response,Ejecutando TTS,
1.043847,5.11114,0.007215,1.579588,10.063524,0.011406,0.118732,0.006551,3.630908,
1.035734,6.415604,0.009892,1.533994,4.065454,0.042125,0.007317,0.006712,1.930699,
1.047228,5.09348,0.005656,1.543964,4.428935,0.013691,0.003526,0.003557,4.209591,
1.034845,5.136443,-0.073554,1.363823,3.64806,0.011833,0.003605,0.003984,3.849661,
1.067272,4.744246,0.010095,1.126254,3.555153,0.012267,0.002893,0.01506,5.364957,
1.117386,4.967452,0.40526,0.967109,2.904551,0.012736,0.010395,0.004838,4.334111,
1.034788,5.173587,-0.084811,1.502279,3.2135,0.011977,0.003584,0.006406,7.368031,
1.028138,5.344931,0.011421,1.063355,2.467954,0.010235,0.002103,0.003211,3.574904,
1.034786,5.084992,0.43489,1.304665,2.130263,0.009808,0.002386,0.006351,2.085586,
1.132042,4.77008,0.431919,1.229064,2.160494,0.016391,0.005725,0.013074,2.051625,
1.037883,4.742254,-0.004201,1.099302,2.606659,0.008195,0.004044,0.004229,2.756533,
1.07237,4.693015,0.000453,1.256222,2.566447,0.009577,0.003931,0.006604,4.01696,
1.056703,4.730933,0.000775,1.271497,3.128809,0.012334,0.00352,0.010044,3.923932,
1.142354,4.769849,0.39432,1.205805,2.73734,0.008012,0.002536,0.006258,1.76937,
1.031225,5.485768,-0.076533,1.042674,3.456466,0.010624,0.006454,0.006553,2.320231,
1.0513,4.746923,0.003667,1.615418,1.790829,0.009242,0.017242,0.009195,3.74461,
1.028629,5.074822,0.008388,1.008276,4.839184,0.010388,86.960464,0.005199,4.071255,
1.048684,4.728016,0.015403,1.054284,1.872729,0.011545,0.023276,0.003268,3.058528,
1.031252,4.805981,0.44277,1.027631,1.938624,0.008277,0.009237,0.004079,3.112461,
1.037026,5.027995,0.436231,1.353855,2.345032,0.008255,0.002582,0.004106,3.062743,
1.040182,4.723079,0.00099,1.087277,3.720498,0.014266,0.00266,0.002932,3.276388,
1.029049,5.088382,0.011978,1.509223,3.124545,0.00955,0.003898,0.005951,3.586718,
1.030635,4.868608,-0.091837,1.249622,2.615,0.008123,0.005044,0.005561,3.086128,
1.033542,4.761375,0.007356,1.524549,1.899569,0.008055,0.005311,0.006387,4.023644,
1.027993,5.355294,0.424241,1.317723,2.534503,0.016533,0.004729,0.003674,3.28793,
1.03893,4.744008,0.012264,1.288148,2.925815,0.008974,0.003422,0.003779,4.110786,
1.029243,4.748003,0.010196,1.745151,2.03391,0.009659,0.008349,0.005885,4.773641,
1.026527,5.09561,0.415545,1.147413,2.011233,0.009438,0.017453,0.010271,4.081095,
1.051967,4.736393,0.420855,1.313173,2.151974,0.01127,0.0033,0.004324,2.497426,
1.042157,4.891227,0.016606,1.250247,1.591572,0.010204,0.006573,0.005541,3.897489,
1.053804,4.75019,0.006861,1.00911,1.292705,0.008936,0.018955,0.005164,3.643843,
